Área Programática, Regiões Administrativas e Bairros;População Censo 2010;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
Total;6.320.446;380;303;667;914;911;572;495;267;154;12;;;4.675
Bairro de Residência Ignorado**;;12;5;10;44;19;14;23;10;8;;;;145
Área Programática 1.0;297.976;19;24;64;42;53;36;29;9;15;4;;;295
I - Portuária;48.664;2;2;9;8;4;12;4;2;9;4;;;56
Saúde;2.749;;;;;;;;;;;;;
Gamboa;13.108;;1;1;3;;2;;;1;;;;8
Santo Cristo;12.330;2;;5;3;1;1;;;;;;;12
Caju;20.477;;1;3;2;3;9;4;2;8;4;;;36
II - Centro;41.142;3;5;16;8;6;5;4;3;;;;;50
Centro;41.142;3;5;16;8;6;5;4;3;;;;;50
III - Rio Comprido;78.975;9;7;12;9;20;7;12;2;3;;;;81
Catumbi;12.556;2;;3;3;6;1;2;1;1;;;;19
Rio Comprido;43.764;7;4;5;4;6;2;2;;1;;;;31
Cidade Nova;5.466;;;2;;5;4;6;;1;;;;18
Estácio;17.189;;3;2;2;3;;2;1;;;;;13
VII - São Cristóvão;84.908;2;4;7;12;18;7;4;1;;;;;55
São Cristóvão;26.510;1;2;4;6;6;2;2;;;;;;23
Mangueira;17.835;1;1;;;2;3;1;;;;;;8
Benfica;25.081;;1;3;6;10;2;1;1;;;;;24
Vasco da Gama;15.482;;;;;;;;;;;;;
XXI - Ilha de Paquetá;3.361;;2;17;1;3;;2;1;1;;;;27
Paquetá;3.361;;2;17;1;3;;2;1;1;;;;27
XXIII - Santa Teresa;40.926;3;4;3;4;2;5;3;;2;;;;26
Santa Teresa;40.926;3;4;3;4;2;5;3;;2;;;;26
Área Programática 2.1;638.050;43;23;18;25;17;13;10;6;11;1;;;167
IV - Botafogo;239.729;27;10;6;6;7;2;1;;4;;;;63
Flamengo;50.043;1;;2;;;;;;;;;;3
Glória;9.661;;;2;;;;;;;;;;2
Laranjeiras;45.554;3;2;;;;;;;1;;;;6
Catete;24.057;14;4;;;;;;;;;;;18
Cosme Velho;7.178;;;;;;;;;;;;;
Botafogo;82.890;7;4;2;6;7;2;1;;3;;;;32
Humaitá;13.285;2;;;;;;;;;;;;2
Urca;7.061;;;;;;;;;;;;;
V - Copacabana;161.191;4;2;4;8;4;2;3;2;2;;;;31
Leme;14.799;;;;;1;;;;1;;;;2
Copacabana;146.392;4;2;4;8;3;2;3;2;1;;;;29
VI - Lagoa;167.774;9;8;3;2;2;1;1;1;2;1;;;30
Ipanema;42.743;;3;;;;;1;;;;;;4
Leblon;46.044;1;1;;;1;;;;;;;;3
Lagoa;21.198;;1;;;1;;;1;;1;;;4
Jardim Botânico;18.009;1;2;;;;;;;1;;;;4
Gávea;16.003;2;;3;1;;;;;;;;;6
